country,adm2,cluster
BDI,Busoni,1
BDI,Mabayi,2
BDI,Cibitoke,2
BDI,Bubanza,2
BDI,Mpanda,2
BDI,Zone Nord,2
BDI,Zone Centre,2
BDI,Zone Sud,2
BDI,Rwibaga,3
BDI,Kayanza,1
BDI,Musema,4
BDI,Gahombo,4
BDI,Ngozi,1
BDI,Kiremba,1
BDI,Buye,1
BDI,Kirundo,1
BDI,Vumbi,1
BDI,Mukenke,1
BDI,Muyinga,1
BDI,Giteranyi,1
BDI,Gashoho,1
BDI,Gitega,4
BDI,Mutaho,4
BDI,Kibuye,4
BDI,Ryansoro,4
BDI,Muramvya,4
BDI,Kiganda,4
BDI,Buhiga,1
BDI,Nyabikere,4
BDI,Kibumbu,4
BDI,Fota,4
BDI,Cankuzo,1
BDI,Murore,1
BDI,Ruyigi,4
BDI,Butezi,4
BDI,Kinyinya,4
BDI,Bururi,3
BDI,Matana,3
BDI,Rutana,4
BDI,Gihofi,4
BDI,Makamba,3
BDI,Nyanza-Lac,3
BDI,Isale,2
BDI,Rumonge,3
BDI,Bugarama,3
BDI,Kabezi,2